"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count	Population	Age-Adjusted Rate
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"New Jersey"	"34"	5786	8634561	63.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"New Mexico"	"35"	903	1903808	47.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"New York"	"36"	13122	19171567	64.9
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"North Carolina"	"37"	6607	8553152	76.2
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"North Dakota"	"38"	421	644705	58.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Ohio"	"39"	9455	11452251	76.8
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Oklahoma"	"40"	3059	3525233	81.4
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Oregon"	"41"	2640	3569463	69.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Pennsylvania"	"42"	10327	12410722	69.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Rhode Island"	"44"	903	1074579	75.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"South Carolina"	"45"	3207	4210921	73.2
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"South Dakota"	"46"	523	770396	61.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Tennessee"	"47"	5162	5910809	83.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Texas"	"48"	12801	22394023	68.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Utah"	"49"	511	2401580	29.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Vermont"	"50"	441	619920	65.4
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Virginia"	"51"	5084	7475575	70.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Washington"	"53"	4053	6178645	68.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"West Virginia"	"54"	1982	1816438	88.8
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Wisconsin"	"55"	3780	5514026	65.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Wyoming"	"56"	276	509106	53.6
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Alabama"	"01"	3763	4565917	76.0
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Alaska"	"02"	337	666946	79.2
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Arizona"	"04"	3567	5839077	58.6
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Arkansas"	"05"	2609	2781097	83.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"California"	"06"	17553	35827943	54.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Colorado"	"08"	1992	4631888	50.0
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Connecticut"	"09"	2621	3506956	67.6
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Delaware"	"10"	783	845150	84.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"District of Columbia"	"11"	356	567136	63.6
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Florida"	"12"	16491	17842038	72.2
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Georgia"	"13"	5649	8925922	73.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Hawaii"	"15"	774	1292729	54.3
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Idaho"	"16"	818	1428241	60.3
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Illinois"	"17"	9052	12609903	72.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Indiana"	"18"	5066	6278616	79.2
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Iowa"	"19"	2421	2964454	70.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Kansas"	"20"	1887	2745299	65.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Kentucky"	"21"	4460	4182742	101.0
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Louisiana"	"22"	3416	4411396	78.1
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Maine"	"23"	1265	1318787	80.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Maryland"	"24"	3752	5592379	68.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Massachusetts"	"25"	5182	6403290	74.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Michigan"	"26"	7880	10051137	75.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Minnesota"	"27"	2923	5119598	57.5
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Mississippi"	"28"	2272	2876229	77.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Missouri"	"29"	5250	5790300	83.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Montana"	"30"	745	940102	70.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Nebraska"	"31"	1202	1761497	64.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Nevada"	"32"	1632	2432143	71.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"New Hampshire"	"33"	1032	1298492	76.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"New Jersey"	"34"	6118	8651974	66.5
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"New Mexico"	"35"	956	1932274	48.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"New York"	"36"	13183	19132610	64.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"North Carolina"	"37"	6982	8705407	78.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"North Dakota"	"38"	458	646089	62.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Ohio"	"39"	9560	11463320	76.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Oklahoma"	"40"	3120	3548597	82.0
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Oregon"	"41"	2715	3613202	70.1
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Pennsylvania"	"42"	10694	12449990	71.7
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Rhode Island"	"44"	876	1067916	74.5
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"South Carolina"	"45"	3453	4270150	76.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"South Dakota"	"46"	526	775493	60.8
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Tennessee"	"47"	5313	5991057	83.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Texas"	"48"	13152	22773020	68.3
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Utah"	"49"	560	2457719	31.4
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Vermont"	"50"	478	621215	70.2
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Virginia"	"51"	5227	7577105	70.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Washington"	"53"	4127	6257305	68.3
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"West Virginia"	"54"	2131	1820492	94.3
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Wisconsin"	"55"	3702	5546166	63.0
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Wyoming"	"56"	291	514157	54.9
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Puerto Rico"	"72"	697	3821362	18.0
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Alabama"	"01"	3827	4628981	75.3
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Alaska"	"02"	350	675302	76.3
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Arizona"	"04"	3527	6029141	56.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Arkansas"	"05"	2499	2821761	78.5
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"California"	"06"	17597	36021202	54.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Colorado"	"08"	2032	4720423	49.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Connecticut"	"09"	2713	3517460	69.3
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Delaware"	"10"	814	859268	85.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"District of Columbia"	"11"	354	570681	63.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Florida"	"12"	16242	18166990	69.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Georgia"	"13"	5868	9155813	73.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Hawaii"	"15"	756	1309731	52.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Idaho"	"16"	796	1468669	56.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Illinois"	"17"	9275	12643955	73.6
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Indiana"	"18"	5297	6332669	81.8
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Iowa"	"19"	2389	2982644	69.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Kansas"	"20"	1881	2762931	65.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Kentucky"	"21"	4589	4219239	101.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Louisiana"	"22"	3421	4302665	78.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Maine"	"23"	1279	1323619	80.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Maryland"	"24"	3770	5627367	67.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Massachusetts"	"25"	5070	6410084	72.6
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Michigan"	"26"	7890	10036081	74.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Minnesota"	"27"	2901	5163555	55.8
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Mississippi"	"28"	2359	2904978	79.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Missouri"	"29"	5227	5842704	81.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Montana"	"30"	714	952692	65.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Nebraska"	"31"	1204	1772693	63.8
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Nevada"	"32"	1785	2522658	74.8
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"New Hampshire"	"33"	982	1308389	70.9
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"New Jersey"	"34"	6135	8661679	66.1
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"New Mexico"	"35"	940	1962137	46.6
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"New York"	"36"	13346	19104631	65.3
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"North Carolina"	"37"	7084	8917270	77.0
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"North Dakota"	"38"	405	649422	55.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Ohio"	"39"	9653	11481213	76.6
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Oklahoma"	"40"	3200	3594090	82.5
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Oregon"	"41"	2687	3670883	67.3
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Pennsylvania"	"42"	10644	12510809	70.6
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Rhode Island"	"44"	853	1063096	71.5
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"South Carolina"	"45"	3476	4357847	74.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"South Dakota"	"46"	546	783033	62.1
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Tennessee"	"47"	5409	6088766	83.1
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Texas"	"48"	12930	23359580	65.0
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Utah"	"49"	570	2525507	30.0
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Vermont"	"50"	570	622892	81.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Virginia"	"51"	5153	7673725	68.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Washington"	"53"	4177	6370753	67.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"West Virginia"	"54"	2097	1827912	91.4
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Wisconsin"	"55"	3818	5577655	64.2
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Wyoming"	"56"	272	522667	50.7
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Puerto Rico"	"72"	685	3805214	17.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Alabama"	"01"	3867	4672840	74.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Alaska"	"02"	330	680300	68.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Arizona"	"04"	3638	6167681	56.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Arkansas"	"05"	2703	2848650	84.0
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"California"	"06"	17443	36250311	52.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Colorado"	"08"	2202	4803868	51.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Connecticut"	"09"	2693	3527270	67.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Delaware"	"10"	744	871749	76.2
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"District of Columbia"	"11"	335	574404	60.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Florida"	"12"	16140	18367842	68.2
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Georgia"	"13"	6138	9349988	74.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Hawaii"	"15"	795	1315675	52.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Idaho"	"16"	823	1505105	56.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Illinois"	"17"	9361	12695866	73.1
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Indiana"	"18"	5285	6379599	79.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Iowa"	"19"	2415	2999212	68.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Kansas"	"20"	1915	2783785	65.1
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Kentucky"	"21"	4613	4256672	99.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Louisiana"	"22"	3444	4375581	77.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Maine"	"23"	1291	1327040	78.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Maryland"	"24"	3776	5653408	67.1
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Massachusetts"	"25"	5070	6431559	71.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Michigan"	"26"	8163	10001284	76.0
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Minnesota"	"27"	3057	5207203	57.9
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Mississippi"	"28"	2522	2928350	83.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Missouri"	"29"	5083	5887612	78.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Montana"	"30"	745	964706	65.9
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Nebraska"	"31"	1290	1783440	67.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Nevada"	"32"	1717	2601072	69.6
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"New Hampshire"	"33"	999	1312540	70.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"New Jersey"	"34"	6155	8677885	65.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"New Mexico"	"35"	979	1990070	47.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"New York"	"36"	13535	19132335	65.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"North Carolina"	"37"	7195	9118037	75.6
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"North Dakota"	"38"	408	652822	55.1
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Ohio"	"39"	9563	11500468	74.9
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Oklahoma"	"40"	3228	3634349	81.9
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Oregon"	"41"	2644	3722417	64.5
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Pennsylvania"	"42"	10852	12563937	71.1
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Rhode Island"	"44"	924	1057315	76.6
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"South Carolina"	"45"	3607	4444110	75.0
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"South Dakota"	"46"	556	791623	61.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Tennessee"	"47"	5293	6175727	79.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Texas"	"48"	13247	23831983	64.8
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Utah"	"49"	551	2597746	28.6
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Vermont"	"50"	522	623481	72.4
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Virginia"	"51"	5078	7751000	66.0
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Washington"	"53"	3961	6461587	62.0
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"West Virginia"	"54"	2030	1834052	87.6
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Wisconsin"	"55"	3855	5610775	63.7
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Wyoming"	"56"	271	534876	49.3
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Puerto Rico"	"72"	669	3782995	16.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Alabama"	"01"	4128	4718206	78.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Alaska"	"02"	349	687455	71.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Arizona"	"04"	3639	6280362	54.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Arkansas"	"05"	2687	2874554	81.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"California"	"06"	17321	36604337	51.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Colorado"	"08"	2281	4889730	51.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Connecticut"	"09"	2711	3545579	67.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Delaware"	"10"	773	883874	77.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"District of Columbia"	"11"	328	580236	58.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Florida"	"12"	16596	18527305	68.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Georgia"	"13"	6231	9504843	72.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Hawaii"	"15"	807	1332213	52.6
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Idaho"	"16"	849	1534320	56.1
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Illinois"	"17"	9394	12747038	72.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Indiana"	"18"	5395	6424806	79.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Iowa"	"19"	2441	3016734	69.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Kansas"	"20"	1914	2808076	64.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Kentucky"	"21"	4804	4289878	101.8
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Louisiana"	"22"	3512	4435586	77.1
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Maine"	"23"	1283	1330509	77.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Maryland"	"24"	3859	5684965	67.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Massachusetts"	"25"	5176	6468967	72.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Michigan"	"26"	7873	9946889	72.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Minnesota"	"27"	3073	5247018	56.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Mississippi"	"28"	2613	2947806	85.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Missouri"	"29"	5142	5923916	77.6
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Montana"	"30"	707	976415	61.3
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Nebraska"	"31"	1213	1796378	62.6
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Nevada"	"32"	1785	2653630	70.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"New Hampshire"	"33"	1034	1315906	71.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"New Jersey"	"34"	6158	8711090	64.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"New Mexico"	"35"	968	2010662	45.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"New York"	"36"	13745	19212436	65.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"North Carolina"	"37"	7315	9309449	74.3
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"North Dakota"	"38"	401	657569	52.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Ohio"	"39"	9746	11515391	74.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Oklahoma"	"40"	3269	3668976	81.1
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Oregon"	"41"	2757	3768748	65.6
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Pennsylvania"	"42"	10744	12612285	69.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Rhode Island"	"44"	920	1055003	75.2
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"South Carolina"	"45"	3590	4528996	71.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"South Dakota"	"46"	555	799124	61.1
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Tennessee"	"47"	5462	6247411	79.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Texas"	"48"	13446	24309039	63.8
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Utah"	"49"	513	2663029	25.5
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Vermont"	"50"	496	624151	68.0
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Virginia"	"51"	5352	7833496	67.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Washington"	"53"	4214	6562231	64.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"West Virginia"	"54"	2138	1840310	90.4
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Wisconsin"	"55"	3950	5640996	63.7
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Wyoming"	"56"	302	546043	52.9
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Puerto Rico"	"72"	705	3760866	17.2
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Alabama"	"01"	4053	4757938	75.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Alaska"	"02"	365	698895	72.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Arizona"	"04"	3891	6343154	56.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Arkansas"	"05"	2570	2896843	76.6
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"California"	"06"	18035	36961229	51.9
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Colorado"	"08"	2245	4972195	49.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Connecticut"	"09"	2665	3561807	65.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Delaware"	"10"	746	891730	73.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"District of Columbia"	"11"	354	592228	61.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Florida"	"12"	16545	18652644	66.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Georgia"	"13"	6318	9620846	72.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Hawaii"	"15"	769	1346717	48.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Idaho"	"16"	813	1554439	52.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Illinois"	"17"	9617	12796778	72.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Indiana"	"18"	5361	6459325	77.7
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Iowa"	"19"	2472	3032870	68.5
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Kansas"	"20"	1931	2832704	63.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Kentucky"	"21"	4750	4317074	99.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Louisiana"	"22"	3473	4491648	74.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Maine"	"23"	1343	1329590	79.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Maryland"	"24"	3695	5730388	62.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Massachusetts"	"25"	5196	6517613	71.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Michigan"	"26"	7775	9901591	69.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Minnesota"	"27"	3183	5281203	57.2
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Mississippi"	"28"	2495	2958774	79.5
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Missouri"	"29"	5362	5961088	79.6
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Montana"	"30"	723	983982	61.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Nebraska"	"31"	1155	1812683	58.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Nevada"	"32"	1725	2684665	65.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"New Hampshire"	"33"	1039	1316102	69.9
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"New Jersey"	"34"	6019	8755602	62.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"New Mexico"	"35"	965	2036802	44.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"New York"	"36"	13696	19307066	64.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"North Carolina"	"37"	7501	9449566	74.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"North Dakota"	"38"	419	664968	54.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Ohio"	"39"	9905	11528896	75.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Oklahoma"	"40"	3019	3717572	74.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Oregon"	"41"	2733	3808600	63.7
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Pennsylvania"	"42"	10803	12666858	69.1
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Rhode Island"	"44"	908	1053646	74.7
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"South Carolina"	"45"	3745	4589872	73.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"South Dakota"	"46"	545	807067	58.6
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Tennessee"	"47"	5679	6306019	80.7
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Texas"	"48"	12913	24801761	59.5
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Utah"	"49"	627	2723421	30.3
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Vermont"	"50"	530	624817	71.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Virginia"	"51"	5440	7925937	67.0
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Washington"	"53"	4321	6667426	63.7
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"West Virginia"	"54"	2041	1847775	85.1
